0,0.33,31.30,#,#,#,#,#,#,#,#,#,#,-9.79,-5.15,-2.84,0.26,0.23,-0.45,22.41,0,1000.00,*D7
116,67.83,42.50,#,#,#,#,#,#,#,185.45,0.32,23.24,38.06,1.41,0.54,10.19,-0.08,-0.07,0.03,23.45,0,1000.00,*7A
117,68.41,41.80,#,#,#,#,#,#,#,185.32,0.32,23.25,37.95,1.06,0.53,10.27,-0.06,0.09,-0.02,23.45,0,1000.00,*4E
118,69.00,42.50,#,#,#,#,#,#,#,185.44,0.32,23.25,37.79,0.29,0.55,10.18,-0.05,-0.02,0.19,23.40,0,1000.00,*B8
119,69.58,42.50,#,#,#,#,#,#,#,185.34,0.32,23.25,37.59,1.25,0.87,10.64,-0.25,-1.30,-0.27,23.45,0,1000.00,*92
120,70.16,42.50,#,#,#,#,#,#,#,185.24,0.32,23.25,37.33,1.27,0.67,10.16,-0.08,0.03,-0.03,23.40,0,1000.00,*E5
121,70.75,42.50,#,#,#,#,#,#,#,185.27,0.32,23.25,37.15,0.82,1.24,9.90,-0.11,0.10,-0.10,23.45,0,1000.00,*EA
122,71.33,42.50,#,#,#,#,#,#,#,185.41,0.32,23.24,37.12,1.24,0.89,10.18,-0.06,0.06,0.03,23.35,0,1000.00,*42
123,71.91,42.50,#,#,#,#,#,#,#,185.15,0.32,23.24,37.08,1.29,0.59,10.06,-0.07,0.03,-0.02,23.49,0,1000.00,*40
124,72.50,42.50,#,#,#,#,#,#,#,185.31,0.32,23.25,36.87,1.44,0.54,10.16,-0.07,0.02,-0.02,23.40,0,1000.00,*C5
125,73.08,42.50,#,#,#,#,#,#,#,185.16,0.32,23.25,36.67,1.75,0.98,9.55,-0.06,0.04,-0.02,23.35,0,1000.00,*31
126,73.67,42.50,#,#,#,#,#,#,#,185.17,0.32,23.24,36.79,2.64,0.29,9.02,-0.27,0.31,-0.05,23.40,0,1000.00,*C8
127,74.25,42.50,#,#,#,#,#,#,#,185.14,0.32,23.25,37.48,1.42,0.44,10.30,-0.06,0.08,0.03,23.49,0,1000.00,*8C
128,74.83,42.50,#,#,#,#,#,#,#,185.10,0.32,23.25,37.94,1.41,0.29,10.04,-0.06,0.04,-0.02,23.45,0,1000.00,*50
129,75.41,42.50,#,#,#,#,#,#,#,185.09,0.32,23.25,38.22,1.49,0.39,10.23,-0.06,0.04,-0.01,23.54,0,1000.00,*FE
130,76.00,42.50,#,#,#,#,#,#,#,185.03,0.32,23.24,38.33,1.34,0.16,10.56,0.04,-0.11,-0.03,23.45,0,1000.00,*5A
131,76.58,42.50,#,#,#,#,#,#,#,185.25,0.32,23.25,38.32,1.31,0.39,10.16,-0.08,0.02,-0.00,23.40,0,1000.00,*BE
132,77.17,42.50,#,#,#,#,#,#,#,185.24,0.32,23.25,38.28,1.34,0.42,10.14,-0.07,0.01,-0.01,23.49,0,1000.00,*E9
133,77.75,43.20,#,#,#,#,#,#,#,185.25,0.32,23.25,38.21,1.49,0.34,10.19,-0.12,0.02,-0.47,23.45,0,1000.00,*BD
134,78.33,43.20,#,#,#,#,#,#,#,185.38,0.32,23.25,38.14,1.45,0.81,9.27,-0.15,-0.02,-0.00,23.40,0,1000.00,*D7
135,78.92,43.20,#,#,#,#,#,#,#,185.13,0.32,23.26,38.17,1.41,0.50,10.20,-0.11,0.00,-0.00,23.54,0,1000.00,*15
136,79.50,42.50,#,#,#,#,#,#,#,185.29,0.32,23.25,38.27,1.54,0.53,9.99,-0.06,0.04,-0.02,23.59,0,1000.00,*F3
137,80.08,43.20,#,#,#,#,#,#,#,185.63,0.32,23.25,38.26,1.47,0.31,10.33,-0.04,0.06,-0.02,23.54,0,1000.00,*75
138,80.67,43.20,#,#,#,#,#,#,#,185.22,0.32,23.25,38.20,1.38,0.40,10.18,-0.03,-0.01,-0.01,23.40,0,1000.00,*BE
139,81.25,43.20,#,#,#,#,#,#,#,185.19,0.32,23.25,38.13,1.55,0.41,10.19,-0.06,0.03,-0.01,23.59,0,1000.00,*79
140,81.83,43.20,#,#,#,#,#,#,#,185.27,0.32,23.25,38.06,1.46,0.77,9.85,-0.08,0.00,-0.06,23.54,0,1000.00,*DA
141,82.42,43.20,#,#,#,#,#,#,#,185.10,0.32,23.26,38.00,1.81,0.05,9.97,-0.06,0.05,0.11,23.49,0,1000.00,*18
142,83.00,43.20,#,#,#,#,#,#,#,185.23,0.32,23.26,37.95,1.46,0.51,10.18,-0.08,0.04,-0.01,23.59,0,1000.00,*CF
143,83.58,42.50,#,#,#,#,#,#,#,185.25,0.32,23.26,37.89,1.34,0.54,10.53,-0.04,0.00,-0.01,23.45,0,1000.00,*65
144,84.17,42.50,#,#,#,#,#,#,#,185.59,0.32,23.27,37.86,0.68,1.01,10.51,-0.08,-0.00,-0.01,23.49,0,1000.00,*24
145,84.75,43.20,#,#,#,#,#,#,#,185.64,0.32,23.26,37.80,1.46,0.38,10.07,-0.08,0.02,-0.02,23.54,0,1000.00,*58
146,85.33,43.20,#,#,#,#,#,#,#,185.47,0.32,23.26,37.77,0.57,0.19,10.56,0.08,0.12,0.29,23.54,0,1000.00,*BA
